group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
12,lncRNA:CR45156,23.467152,5.444845,1.4225891290718478e-67,1.1335371546389226e-66,0.7941176470588235,0.07216808769792936
12,CG1124,8.913367,5.430561,7.374196838203194e-17,1.99842732742634e-16,0.2867647058823529,0.008982947624847746
12,siz,53.056202,5.3754787,1.1031055155785413e-154,2.8284756809706186e-153,0.9889705882352942,0.4037758830694275
12,Rgl,63.88456,5.3726344,7.27831674398983e-183,2.599398837139225e-181,0.9963235294117647,0.3163824604141291
12,tok,16.94955,5.3145742,1.5434317355972921e-44,8.187966767094388e-44,0.5919117647058824,0.03258221680876979
12,CG30334,6.6130347,5.298851,1.9894098547238928e-10,4.381960032431482e-10,0.17279411764705882,0.0047198538367844095
13,CG34375,6.968737,6.5908484,2.008634429909421e-11,5.059532569041362e-11,0.1617161716171617,0.002294630564479119
13,CG7910,10.867638,5.8207564,1.8983166216555827e-23,6.86552123564406e-23,0.3234323432343234,0.008260670032124828
13,comm3,12.425917,5.6834,6.278472294729022e-29,2.6160301228037592e-28,0.40924092409240925,0.01958084748355515
13,CG13138,15.836328,5.6786404,1.3715632962849146e-41,7.74894517675093e-41,0.5346534653465347,0.021722502677068992
13,CG8051,6.380178,5.6183324,6.61808943897669e-10,1.5719927408495702e-09,0.1353135313531353,0.0030595074193054917
13,CG6847,20.472464,5.5939155,3.5347854223169643e-59,2.7295640326771925e-58,0.6798679867986799,0.038549793483249196
13,CG15431,10.781519,5.4302096,3.7128758115395667e-23,1.3307798607668697e-22,0.3432343234323432,0.017133241548110755
13,CG15721,37.82298,5.3245378,9.897744697380248e-120,2.0199478974245405e-118,0.9372937293729373,0.14716230686859416
13,lectin-46Ca,11.523205,5.243487,9.978025877138668e-26,3.837702260437949e-25,0.34983498349834985,0.011167202080465045
13,CG12926,9.97829,5.215665,1.837326632351863e-20,6.196717141152996e-20,0.297029702970297,0.011473152822395595
13,DOR,55.290787,5.1468573,4.2360570538602774e-179,1.7650237724417823e-177,0.976897689768977,0.26525929325378617
13,sand,7.7127585,5.1154146,1.7879797512584914e-13,4.858640628419814e-13,0.20132013201320131,0.008260670032124828
13,Pvf1,65.2184,4.979056,1.7713589146871162e-206,9.08389187019034e-205,0.9933993399339934,0.27367293865687625
13,rut,47.68749,4.9635344,6.596667770478151e-154,2.0297439293778927e-152,0.9702970297029703,0.1979501300290653
13,Nrg,50.786503,4.899778,1.4453933691974632e-169,5.255975887990775e-168,0.9966996699669967,0.5282239559430931
13,asRNA:CR43636,9.4226265,4.8989267,1.1707630196929188e-18,3.7404569319262586e-18,0.26732673267326734,0.011779103564326144
13,slow,20.203638,4.871558,2.8418113748488773e-58,2.1860087498837517e-57,0.66996699669967,0.08291265106317883
13,prage,54.651627,4.851486,7.244360100282075e-179,2.95688167358452e-177,0.9933993399339934,0.4341441027994493
13,CG32137,74.18182,4.7703934,2.9659448272440597e-248,1.9135127917703612e-246,0.9933993399339934,0.2949365152210494
13,CG1648,21.635424,4.711464,1.006290562998488e-63,8.420841531368101e-63,0.7194719471947195,0.07128652286981796
13,Cyp4aa1,11.217941,4.668941,1.134575525715985e-24,4.297634567106003e-24,0.38613861386138615,0.027841517515679974
13,Paip2,82.126976,4.5854816,2.4163458691305054e-285,2.196678062845914e-283,0.9933993399339934,0.3928407526388252
13,Nha2,6.3146014,4.5315704,9.599821530595375e-10,2.264108851555513e-09,0.13861386138613863,0.00566008872571516
13,CG12517,20.763418,4.5028176,1.7017753928465898e-60,1.350615391148087e-59,0.6897689768976898,0.053541379837846105
